SLURM_ARRAY_TASK_ID: 6
Scene path: bistro_path1_seg3_1
Reference file 
 /home/yl962/rds/hpc-work/VRR/VRRMP4/reference_videos/bistro/bistro_path1_seg3_1/refOutput_bistro_path1_seg3_1_166_1080.mp4


========================= bitrate 1000 =========================
Processing video with bitrate: 1000kbps

reference /home/yl962/rds/hpc-work/VRR/VRRMP4/reference_videos/bistro/bistro_path1_seg3_1/refOutput_bistro_path1_seg3_1_166_1080.mp4
test /home/yl962/rds/hpc-work/VRR/VRRMP4/h265_to_mp4/bistro/bistro_path1_seg3_1/1000/1000_100_1080.mp4

cvvdp=6.0163 [JOD]


reference /home/yl962/rds/hpc-work/VRR/VRRMP4/reference_videos/bistro/bistro_path1_seg3_1/refOutput_bistro_path1_seg3_1_166_1080.mp4
test /home/yl962/rds/hpc-work/VRR/VRRMP4/h265_to_mp4/bistro/bistro_path1_seg3_1/1000/1000_100_360.mp4

cvvdp=4.7938 [JOD]


reference /home/yl962/rds/hpc-work/VRR/VRRMP4/reference_videos/bistro/bistro_path1_seg3_1/refOutput_bistro_path1_seg3_1_166_1080.mp4
test /home/yl962/rds/hpc-work/VRR/VRRMP4/h265_to_mp4/bistro/bistro_path1_seg3_1/1000/1000_100_480.mp4

cvvdp=5.1390 [JOD]


reference /home/yl962/rds/hpc-work/VRR/VRRMP4/reference_videos/bistro/bistro_path1_seg3_1/refOutput_bistro_path1_seg3_1_166_1080.mp4
test /home/yl962/rds/hpc-work/VRR/VRRMP4/h265_to_mp4/bistro/bistro_path1_seg3_1/1000/1000_100_720.mp4

cvvdp=5.6256 [JOD]


reference /home/yl962/rds/hpc-work/VRR/VRRMP4/reference_videos/bistro/bistro_path1_seg3_1/refOutput_bistro_path1_seg3_1_166_1080.mp4
test /home/yl962/rds/hpc-work/VRR/VRRMP4/h265_to_mp4/bistro/bistro_path1_seg3_1/1000/1000_100_864.mp4

cvvdp=5.8080 [JOD]


reference /home/yl962/rds/hpc-work/VRR/VRRMP4/reference_videos/bistro/bistro_path1_seg3_1/refOutput_bistro_path1_seg3_1_166_1080.mp4
test /home/yl962/rds/hpc-work/VRR/VRRMP4/h265_to_mp4/bistro/bistro_path1_seg3_1/1000/1000_110_1080.mp4

cvvdp=6.0755 [JOD]


reference /home/yl962/rds/hpc-work/VRR/VRRMP4/reference_videos/bistro/bistro_path1_seg3_1/refOutput_bistro_path1_seg3_1_166_1080.mp4
test /home/yl962/rds/hpc-work/VRR/VRRMP4/h265_to_mp4/bistro/bistro_path1_seg3_1/1000/1000_110_360.mp4

cvvdp=4.8531 [JOD]


reference /home/yl962/rds/hpc-work/VRR/VRRMP4/reference_videos/bistro/bistro_path1_seg3_1/refOutput_bistro_path1_seg3_1_166_1080.mp4
test /home/yl962/rds/hpc-work/VRR/VRRMP4/h265_to_mp4/bistro/bistro_path1_seg3_1/1000/1000_110_480.mp4

cvvdp=5.1900 [JOD]


reference /home/yl962/rds/hpc-work/VRR/VRRMP4/reference_videos/bistro/bistro_path1_seg3_1/refOutput_bistro_path1_seg3_1_166_1080.mp4
test /home/yl962/rds/hpc-work/VRR/VRRMP4/h265_to_mp4/bistro/bistro_path1_seg3_1/1000/1000_110_720.mp4

cvvdp=5.6855 [JOD]


reference /home/yl962/rds/hpc-work/VRR/VRRMP4/reference_videos/bistro/bistro_path1_seg3_1/refOutput_bistro_path1_seg3_1_166_1080.mp4
